SIGLA;DESCRICAO;NIVEL ENSINO;CH HORA RELOGIO;CH HORA AULA;CH QTD CREDITOS;ATIVO;SIGLA QACADEMICO;OBSERVACAO
POS.0150;Abastecimento de Água e Esgotamento Sanitário;Pós-graduação;45;45;3;Sim;-;-
ENG.0070;Acionamento Elétrico;Graduação;60;80;4;Sim;-;-
TSUB.0438;Acionamento Eletrônico;Médio;105;140;7;Sim;TSUB.207.0013;Curso 12808
TIN.0639;Acionamento Eletrônico;Médio;120;160;4;Sim;TIN.206.0009;-
TIN.1031;Acionamento Eletrônico;Médio;60;80;2;Sim;DATIIZN.046.1;-
TSUB.0711;Acionamentos e Comandos elétricos;Médio;60;80;4;Sim;TSUB.415.0009;-
TIN.0780;Acionamentos e Comandos Elétricos;Médio;60;80;4;Sim;TIN.115.0007;-
EJA.0198;Acionamentos e Comandos Elétricos;Médio;60;80;4;Sim;TEJA.104.0016;Curso 104
FIC.0495;Acompanhamento e avaliação de projetos sociais;Fundamental;20;20;1;Sim;-;-
FIC.0680;A disciplina de História em filmes: um caminho possível;Fundamental;24;32;2;Sim;-;-
TEC.0154;Administração Avançada de Serviços de Redes (NCT);Graduação;60;80;4;Sim;TEC.405.0001;-
TEC.1060;Administração da Produção;Graduação;60;80;4;Sim;-;-
FIC.0142;Administração da propriedade rural;Fundamental;18;24;1;Sim;-;-
FIC.0637;Administração da propriedade rural;Fundamental;10;13;1;Sim;-;-
FIC.0772;Administração da propriedade rural;Fundamental;12;16;1;Sim;-;-
TEC.0872;Administração de Banco de Dados;Graduação;45;60;3;Sim;INF.S028;Curso 404X
EJA.0078;Administração de Empresas Cooperativistas I;Médio;60;80;4;Sim;TEJA.417.0001;Curso 417
TIN.0508;Administração de Empresas Cooperativistas I;Médio;60;80;4;Sim;TIN.410.0004;-
EJA.0079;Administração de Empresas Cooperativistas II;Médio;60;80;4;Sim;TEJA.417.0002;Curso 417
TIN.0512;Administração de Empresas Cooperativistas II;Médio;45;60;3;Sim;TIN.410.0005;-
TSUB.0725;Administração de Materiais;Médio;76;101;5;Sim;TEC.067.0006;-
FIC.1001;Administração de Materiais;Fundamental;30;40;2;Sim;-;-
TSUB.0958;Administração de Materiais;Médio;60;80;4;Sim;-;-
TEC.0264;Administração de Sistemas Abertos;Graduação;60;80;4;Sim;INF.S068;405x
TSUB.0383;Administração de Sistemas Abertos;Médio;90;120;6;Sim;TSUB.403.0010;Curso 403
TEC.0148;Administração de Sistemas Abertos (NCT);Graduação;60;80;4;Sim;TEC.405.0002;-
TEC.0873;Administração de Sistemas Operacionais;Graduação;60;80;4;Sim;INF.S025;Curso 404X
TEC.0717;Administração de Sistemas Operacionais de Redes;Graduação;60;80;4;Sim;TEC.NCT.UT.0084;-
TEC.0271;Administração de Sistemas Proprietários;Graduação;60;80;4;Sim;INF.S074;405x
TSUB.0389;Administração de Sistemas Proprietários;Médio;60;80;4;Sim;TSUB.403.0013;Curso 403
TEC.0155;Administração de Sistemas Proprietários (NCT);Graduação;60;80;4;Sim;TEC.405.0003;-
FIC.0372;Administração de Vendas;Fundamental;20;20;1;Sim;-;-
TEC.0674;Administração e Gestão Cultural;Graduação;60;80;4;Sim;TEC.412.0001;Curso 
CIV.0014;Administração e Logística na Construção Civil (60h);Graduação;60;80;4;Sim;-;-
ESA.0011;Administração, Empreendedorismo e Inovação (60h);Graduação;60;80;4;Sim;-;-
EJA.0099;Administração Financeira;Médio;60;80;4;Sim;TEJA.NA.0019;-
TIN.0525;Administração Financeira;Médio;60;80;4;Sim;TIN.NA.0060;.
TEC.0320;Administração Municipal;Graduação;60;80;4;Sim;SUP.053;Curso 01436X
FIC.0424;Administração rural;Fundamental;9;12;1;Sim;-;-
EJA.0008;Administração Rural e Economia Solidária;Médio;90;120;6;Sim;TEJA.305.0008;Curso 305
TIN.0479;Administração Rural e Economia Solidária;Médio;90;120;6;Sim;TIN.306.0014;-
FIC.0361;A EaD no IFRN e o ambiente virtual de aprendizagem;Fundamental;16;16;1;Sim;-;-
FIC.0869;A Educação Alimentar e Nutricional nas escolas;Fundamental;24;32;2;Sim;-;-
FIC.0868;A Educação alimentar e nutricional no contexto do PNAE;Fundamental;6;8;1;Sim;-;-
FIC.0885;A Educação da Criança e a Legislação Vigente;Fundamental;9;12;1;Sim;-;-
POS.0540;A  Educação  Profissional  e a Educação de Jovens e Adultos na Política Educacional Brasileira;Pós-graduação;30;40;2;Sim;-;-
TEC.1152;Agenciamento e Roteirização Turística;Graduação;60;80;4;Sim;-;-
TSUB.0238;Agenciamento para Eventos;Médio;30;40;2;Sim;TSUB.808.0011;Curso 12808
TIN.0919;Agenciamento para Eventos;Médio;30;40;2;Sim;-;NT
FIC.0743;Agregados e Aglomerados;Fundamental;50;50;2;Sim;-;-
LIC.1076;Agricultura familiar;Graduação;60;80;4;Sim;-;-
LIC.0657;Agricultura familiar I;Graduação;30;40;2;Sim;-;-
LIC.0658;Agricultura familiar II;Graduação;45;60;3;Sim;-;-
TIN.0152;Agricultura Geral;Médio;30;40;2;Sim;TIN.108.0001;-
TEC.0347;Agricultura I;Graduação;60;80;4;Sim;TEC.805.0017;Curso 05805
TEC.0348;Agricultura II;Graduação;60;80;4;Sim;TEC.805.0018;Curso 05805
POS.0172;Agricultura Sustentável e Segurança Alimentar e Nutricional;Pós-graduação;45;45;3;Sim;-;-
TIN.0154;Agroecologia;Médio;30;40;2;Sim;TIN.108.0003;-
LIC.0712;Agroecologia;Graduação;30;40;2;Sim;-;Curso 710
FIC.0777;Agroecologia;Fundamental;15;20;1;Sim;-;-
EJA.0020;Agroecologia Geral;Médio;45;60;3;Sim;TEJA.NA.0003;-
TIN.0461;Agroecologia Geral;Médio;45;60;3;Sim;TIN.NA.0038;.
EJA.0080;Agroindústria I: Apicultura e Laticínios;Médio;60;80;4;Sim;TEJA.417.0003;Curso 417
TIN.0518;Agroindústria I: Apicultura e Laticínios;Médio;60;80;4;Sim;TIN.410.0011;-
EJA.0081;Agroindústria II: Cajucultura e Mandiocultura;Médio;60;80;4;Sim;TEJA.417.0004;Curso 417
TIN.0519;Agroindústria II: Cajucultura e Mandiocultura;Médio;60;80;4;Sim;TIN.410.0012;-
TSUB.0113;Agroindustrialização de Produtos de Origem Animal;Médio;60;80;4;Sim;TSUB.421.0010;Curso 08421
TIN.0221;Agroindustrialização de Produtos de Origem Animal;Médio;60;80;4;Sim;TIN.426.0014;-
EJA.0208;Agroindustrialização de Produtos de Origem Animal;Médio;60;80;4;Sim;TEJA.420.0001;Curso 420
TIN.0194;Agroindustrialização de Produtos de Origem Vegetal;Médio;60;80;4;Sim;TIN.108.0012;-
TEC.1078;Agrometeorologia;Graduação;60;80;4;Sim;-;-
TEC.0336;Agrometeorologia e Gestão dos Recursos Hídricos no Semiárido(60H);Graduação;60;80;4;Sim;TEC.805.0007;Curso 05805
FIC.0537;A importância da Química no nosso dia;Fundamental;1;2;0;Sim;-;-
FIC.0939;Alfabetização;Fundamental;30;40;2;Sim;-;-
POS.0227;Alfabetização e Letramento;Pós-graduação;30;40;2;Sim;-;-
LIC.0653;Alfabetização, letramento e numeramento no contexto da diversidade;Graduação;60;80;4;Sim;-;-
LIC.0922;Álgebra I;Graduação;60;80;4;Sim;-;matriz 324
LIC.0937;Álgebra II;Graduação;60;80;4;Sim;-;matriz 324
LIC.0220;Álgebra Linear;Graduação;90;120;6;Sim;LIC.601.0023;Curso 601
LIC.0425;Álgebra Linear;Graduação;45;60;3;Sim;LIC.NEp.0013;-
TEC.0874;Álgebra Linear;Graduação;45;60;3;Sim;FOR.S012;Curso 404X
LIC.0685;Álgebra Linear;Graduação;45;60;3;Sim;SUP.222;.
TEC.0487;Álgebra Linear(60H);Graduação;60;80;4;Sim;TEC.NCT.UB.0038;Curso 06804
ENG.0006;Álgebra Linear Aplicada;Graduação;60;80;4;Sim;-;-
LIC.0904;Álgebra Linear I;Graduação;60;80;4;Sim;-;matriz 324
LIC.1152;Álgebra Linear I;Graduação;60;80;4;Sim;-;Fisica
LIC.0932;Álgebra Linear II;Graduação;60;80;4;Sim;-;matriz 324
LIC.1153;Álgebra Linear II;Graduação;60;80;4;Sim;-;Fisica
CIV.0004;Algorítmo e Linguagem de Programação (60h);Graduação;60;80;4;Sim;-;-
LIC.0603;Algoritmo e Tecnologia de Programação;Graduação;60;80;4;Sim;SUP.123;Curso 01430x
TSUB.0376;Algoritmos;Médio;60;80;4;Sim;TSUB.403.0003;Curso 403
TEC.1007;Algoritmos;Graduação;60;80;4;Sim;TEC.404.0003;Curso 404
ENG.0018;Algoritmos e Estrutura de Dados;Graduação;60;80;4;Sim;-;-
LIC.0202;Algoritmos e Programação de Computadores;Graduação;60;80;4;Sim;LIC.601.0030;Curso 601
TIN.1050;Algoritmos e Programação Orientada a Objetos(120H);Médio;120;160;4;Sim;DATINF.016;-
LIC.0433;Algoritmos e Técnicas de Programação;Graduação;60;80;4;Sim;LIC.411.0002;Curso 05411
TEC.0676;Algoritmos e Técnicas de Programação;Graduação;90;120;6;Sim;TEC.806.0001;-
LIC.0683;Algoritmos e Técnicas de Programação;Graduação;60;80;4;Sim;SUP.223;-
TEC.0810;Algoritmos e Técnicas de Programação(90H);Graduação;90;120;6;Sim;INF.S001;Curso 404X
TEC.0015;Algoritmos (NCT);Graduação;60;80;4;Sim;TEC.405.0036;-
TEC.0342;Alimentação Animal de Base Ecológica(60H);Graduação;60;80;4;Sim;TEC.805.0014;Curso 05805
FIC.1036;Alimentação e cardápios saudáveis;Fundamental;15;20;1;Sim;-;-
TSUB.0822;Alimentação e Nutrição no Brasil;Médio;60;80;4;Sim;TEC.079.0001;079
FIC.0865;Alimentação saudável e preparações culinárias;Fundamental;18;24;2;Sim;-;-
TSUB.0823;Alimentação Saudável e Sustentável;Médio;90;120;6;Sim;TEC.079.0002;079
POS.0360;Alimentos Agroecológicos;Pós-graduação;30;40;2;Sim;-;-
TSUB.0094;Alimentos e Alimentação;Médio;30;40;2;Sim;TSUB.421.0002;Curso 08421
EJA.0209;Alimentos e Alimentação;Médio;30;40;2;Sim;TEJA.420.0002;Curso 420
TIN.0219;Alimentos e Alimentação(30H);Médio;30;40;2;Sim;TIN.426.0005;-
CIV.0071;Alta Performance na Engenharia Civil (30h);Graduação;30;40;2;Sim;-;-
CIV.0059;Alvenaria estrutural (60h);Graduação;60;80;4;Sim;-;-
TEC.1101;Ambiência e Bem Estar na Produção Animal;Graduação;30;40;2;Sim;-;-
POS.0518;Ambientação à EaD;Pós-graduação;15;20;1;Sim;-;-
POS.0357;Ambientação à EAD;Pós-graduação;15;20;1;Sim;-;-
FIC.0989;Ambientação à Educação a Distância;Fundamental;15;20;1;Sim;-;Novos Caminhos
POS.0465;Ambientação em Informática aplicada à Educação;Pós-graduação;30;40;2;Sim;-;-
TEC.0875;Ambiente de Desenvolvimento;Graduação;60;80;4;Sim;INF.S019;Curso 404X
TIN.1067;Ambientes de Programação e Banco de Dados(120H);Médio;120;160;4;Sim;DATINF.017;-
TIN.0940;Ambientes e Instalações Hospitalares;Médio;120;160;4;Sim;-;Curso 028
TSUB.0860;Ambientes Hospitalares;Médio;60;80;4;Sim;-;-
FIC.0176;Ambulatório de dependência química;Fundamental;20;20;1;Sim;-;-
LIC.0717;A mística como princípio educativo;Graduação;30;40;2;Sim;-;-
LIC.0118;Análise Combinatória e Probabilidade;Graduação;45;60;3;Sim;LIC.430.0012;Curso 01430
LIC.0601;Análise Combinatória e Probabilidade;Graduação;45;60;3;Sim;SUP.126;Curso 01430x
LIC.1120;Análise Combinatória e Probabilidade;Graduação;60;80;4;Sim;-;Curso 710
FIC.0256;Análise contrastiva: português e espanhol;Fundamental;15;15;1;Sim;-;-
FIC.0287;Análise contrastiva: português e espanhol;Fundamental;20;20;1;Sim;-;-
TSUB.0777;Análise de Água e Efluentes;Médio;60;80;4;Sim;TSUB.071.0003;-
TSUB.0485;Análise de Águas e Efluentes;Médio;60;80;4;Sim;TSUB.032.0016;Curso 032
TIN.0730;Análise de Águas e Efluentes(60H);Médio;60;80;4;Sim;TIN.301.0013;-
ESA.0014;Análise de Águas e Efluentes (90h);Graduação;90;120;6;Sim;-;-
TIN.1131;Análise de Alimentos;Médio;120;160;4;Sim;TIN.276;Curso 308X
TEC.0396;Análise de Alimentos(90H);Graduação;90;120;6;Sim;TEC.048.0032;Curso 03048
TEC.0761;Análise de custos da produção;Graduação;60;80;4;Sim;TEC.NCT.UT.0118;-
FIC.0530;Análise de Leite;Fundamental;39;52;3;Sim;-;-
TEC.0170;Análise de Malware (NCT);Graduação;60;80;4;Sim;TEC.405.0031;-
FIC.0114;Análise de Perigos e Pontos Críticos de Controle - APPCC;Fundamental;20;20;1;Sim;-;-
TSUB.0299;Análise de Produtos Apícolas;Médio;45;60;3;Sim;TSUB.035.0012;Curso 09035
TEC.1222;Análise de produtos naturais;Graduação;60;80;4;Sim;-;-
TEC.0366;Análise de Sistemas Agrícolas(60H);Graduação;60;80;4;Sim;TEC.805.0028;Curso 05805
TEC.0497;Análise de Sistemas de Potência(75H);Graduação;75;100;5;Sim;TEC.804.0008;Curso 06804
TEC.1228;Análise de solos;Graduação;60;80;4;Sim;-;-
TEC.0567;Analise de Solos e Resíduos Sólidos(60H);Graduação;60;80;4;Sim;TEC.304.0030;Curso 01304
TSUB.0218;Análise dos Alimentos;Médio;75;100;5;Sim;TSUB.307.0013;Curso 10045
TIN.0441;Análise dos Alimentos(75H);Médio;75;100;5;Sim;TIN.116.0016;-
TIN.0707;Análise dos Produtos Apícolas(60H);Médio;60;80;4;Sim;TIN.109.0012;-
LIC.0330;Análise e Elaboração de Materiais de E/LE;Graduação;60;80;4;Sim;LIC.603.0025;Curso 603
LIC.0538;Análise e Elaboração de Materiais de E/LE;Graduação;80;106;5;Sim;FOR.L090;Curso 603X
LIC.0954;Análise e Elaboração de Materiais Didáticos em Língua Espanhola;Graduação;60;80;4;Sim;-;-
POS.0083;Análise e Produção de Material Didático em uma Perspectiva Transdisciplinar;Pós-graduação;80;80;4;Sim;ESP.99608.0006;-
POS.0498;Análise e Produção de Material Didático em uma Perspectiva Transdisciplinar;Pós-graduação;90;120;6;Sim;-;-
TEC.1028;Análise e Projeto de Sistemas Web;Graduação;60;80;4;Sim;-;-
TEC.0021;Análise e Projeto Orientado a Objetos (Curso 404);Graduação;60;80;4;Sim;TEC.404.0009;Curso 404
TSUB.0015;Análise e Projeto Orientados a Objetos;Médio;60;80;4;Sim;TSUB.111.0010;Curso 15000
TEC.0685;Análise e Projeto Orientados a Objetos;Graduação;60;80;4;Sim;TEC.806.0010;-
TEC.0876;Análise e Projeto Orientados a Objetos;Graduação;60;80;4;Sim;INF.S015;Curso 404X
TCON.0007;Análise e Projeto Orientados a Objetos;Médio;60;80;4;Sim;-;Matriz 309
TIN.0597;Análise e Projeto Orientados a Objetos(60H);Médio;60;80;2;Sim;TIN.NA.0050;-
ENG.0080;Análise Exergética de Processos Industriais;Graduação;60;80;4;Sim;-;-
TEC.1175;Análise Financeira;Graduação;30;40;2;Sim;-;-
LIC.0191;Análise Matemática I;Graduação;90;120;6;Sim;LIC.601.0026;Curso 601
LIC.0203;Análise Matemática II;Graduação;90;120;6;Sim;LIC.601.0027;Curso 601
TEC.0391;Análise microbiológica de Alimentos(60H);Graduação;60;80;4;Sim;TEC.048.0005;Curso 03048
LIC.0815;Análise Orgânica;Graduação;60;80;4;Sim;DIA/CN.027;-
TSUB.0522;Análise Química dos Minerais;Médio;45;60;3;Sim;TSUB.435.0005;-
TIN.0830;Análise Química dos Minerais(45H);Médio;45;60;3;Sim;TIN.433.0005;-
LIC.0933;Análise Real;Graduação;60;80;4;Sim;-;matriz 324
TEC.0416;Análises de Água(30H);Graduação;30;40;2;Sim;TEC.048.0025;Curso 03048
LIC.1022;Análises de Águas e Efluentes I;Graduação;60;80;4;Sim;-;-
LIC.0990;Análises de Águas e Efluentes II;Graduação;60;80;4;Sim;-;-
TIN.0731;Análises de Solo e de Resíduos Sólidos(60H);Médio;60;80;4;Sim;TIN.301.0014;-
TSUB.0489;Análises de Solo e Resíduos Sólidos(60H);Médio;60;80;4;Sim;TSUB.032.0014;Curso 032
TEC.0408;Análise Sensorial(30H);Graduação;30;40;2;Sim;TEC.048.0015;Curso 03048
TSUB.0220;Análise Sensorial(30H);Médio;30;40;2;Sim;TSUB.307.0018;Curso 10045
TIN.0429;Análise Sensorial(30H);Médio;30;40;2;Sim;TIN.116.0019;-
TSUB.0302;Análise Sensorial(45H);Médio;45;60;3;Sim;TSUB.035.0015;Curso 09035
TIN.0709;Análise Sensorial(60H);Médio;60;80;4;Sim;TIN.109.0015;-
TSUB.0667;Análises laboratoriais de rocha e fluidos da indústria do petróleo(60H);Médio;60;80;4;Sim;TSUB.025.0006;Curso 025
LIC.0271;Anatomia Animal Comparada;Graduação;60;80;4;Sim;LIC.106.0006;Curso 106
TSUB.0855;Anatomia e Fisiologia;Médio;75;100;5;Sim;-;-
TIN.0936;Anatomia e Fisiologia ;Médio;60;80;2;Sim;-;Curso 028
EJA.0210;Anatomia e Fisiologia Animal;Médio;60;80;4;Sim;TEJA.420.0003;Curso 420
TSUB.0034;Anatomia e Fisiologia Animal(45H);Médio;45;60;3;Sim;TSUB.79.0003;Curso 08079
TIN.0113;Anatomia e Fisiologia Animal(45H);Médio;45;60;3;Sim;TIN.026.0003;-
TIN.0853;Anatomia e Fisiologia Animal(45H);Médio;90;120;6;Sim;TIN.432.0002;-
TSUB.0095;Anatomia e Fisiologia Animal(60H);Médio;60;80;4;Sim;TSUB.421.0003;Curso 08421
TIN.0206;Anatomia e Fisiologia Animal(60H);Médio;60;80;4;Sim;TIN.426.0001;-
FIC.0920;Anatomia e Fisiologia de Aves de Interesse Zootécnico;Fundamental;9;12;0;Sim;-;Curso Avicultor
FIC.0640;Anatomia Funcional;Fundamental;3;4;0;Sim;-;-
TEC.0625;Antropofagia e Produção Cultural;Graduação;60;80;4;Sim;TEC.NCT.UT.0094;Curso 413
FIC.0031;Antropologia Cultural;Fundamental;10;10;1;Sim;-;-
TEC.0360;Antropologia Cultural e Relações de Gênero na Agricultura Familiar(60H);Graduação;60;80;4;Sim;TEC.805.0026;Curso 05805
POS.0217;Antropologia da Educação;Pós-graduação;16;16;0;Sim;-;-
POS.0230;Antropologia da Educação;Pós-graduação;30;40;2;Sim;-;-
POS.0538;Antropologia da Educação;Pós-graduação;15;20;1;Sim;-;-
TEC.1080;Antropologia das Comunidades Tradicionais;Graduação;30;40;2;Sim;-;-
TEC.0867;Antropologia e Produção Cultural;Graduação;30;40;2;Sim;TEC.NCT.UT.0072;-
LIC.1089;Antropologia e Sociologia Rural;Graduação;30;40;2;Sim;-;-
LIC.0788;Antropologia filosófica;Graduação;30;40;2;Sim;-;Curso 710
LIC.0783;Antropologia Rural;Graduação;30;40;2;Sim;-;Curso 710
POS.0261;A organização do currículo e as práticas pedagógicas na escola: contribuições do pós-estruturalismo;Pós-graduação;60;60;4;Sim;-;-
POS.0341;A Pesquisa Científica Com Apoio das TIC;Pós-graduação;30;40;2;Sim;-;-
FIC.0425;Apicultura;Fundamental;9;12;1;Sim;-;-
EJA.0016;Apicultura;Médio;30;40;2;Sim;TEJA.305.0018;Curso 305
EJA.0229;Apicultura;Médio;60;80;4;Sim;TEJA.420.0026;Curso 420
TIN.0471;Apicultura(30H);Médio;30;40;2;Sim;TIN.306.0007;-
TSUB.0051;Apicultura(45H);Médio;45;60;3;Sim;TSUB.79.0016;Curso 08079
TIN.0131;Apicultura(45H);Médio;45;60;3;Sim;TIN.026.0016;-
TSUB.0110;Apicultura(60H);Médio;60;80;4;Sim;TSUB.421.0015;Curso 08421
TIN.0226;Apicultura(60H);Médio;60;80;4;Sim;TIN.426.0019;-
TEC.1084;Apicultura de Base Ecológica;Graduação;30;40;2;Sim;-;-
TEC.0334;Apicultura e Meliponicultura(60H);Graduação;60;80;4;Sim;TEC.805.0005;Curso 05805
TEC.0870;Aplicação do Plano de Negócio;Graduação;30;40;2;Sim;TEC.NCT.UT.0086;-
TEC.0075;Aplicações com Interfaces Ricas (NCT);Graduação;60;80;4;Sim;TEC.NCT.UT.0019;Curso 404
TEC.0683;Aplicações de Redes de Computadores;Graduação;60;80;4;Sim;TEC.806.0008;-
TEC.0877;Aplicações de Redes de Computadores;Graduação;45;60;3;Sim;INF.S013;Curso 404X
TEC.1032;Aplicações de Redes de Computadores;Graduação;30;40;2;Sim;-;-
FIC.0284;Aplicativos Web;Fundamental;20;20;1;Sim;-;-
ATV.0151;Apoio à Decisão;Graduação;60;80;4;Sim;-;-
FIC.0558;APPCC – Análise de Perigos e Pontos Críticos de Controle no Processamento Mel;Fundamental;10;10;1;Sim;-;-
TEC.0635;Apreciação Musical;Graduação;30;40;2;Sim;TEC.NCT.UT.0062;-
FIC.0008;Apresentação Eletrônica;Fundamental;20;20;1;Sim;-;-
FIC.0535;Apresentação Eletrônica;Fundamental;45;60;3;Sim;-;-
FIC.0757;Apresentação Eletrônica;Fundamental;15;20;1;Sim;-;-
FIC.1039;Apresentação Eletrônica;Fundamental;15;20;1;Sim;-;Novos Caminhos
FIC.0499;Aprofundamento de aprendizagem em língua portuguesa, matemática e ética e cidadania;Fundamental;160;160;8;Sim;-;-
LIC.0775;A questão agrária no Brasil;Graduação;30;40;2;Sim;-;Curso 710
EJA.0211;Aquicultura;Médio;60;80;4;Sim;TEJA.420.0004;Curso 420
TEC.1103;Aquicultura;Graduação;30;40;2;Sim;-;-
TSUB.0058;Aquicultura(45H);Médio;45;60;3;Sim;TSUB.79.0020;Curso 08079
TIN.0135;Aquicultura(45H);Médio;45;60;3;Sim;TIN.026.0020;-
TSUB.0112;Aquicultura(60H);Médio;60;80;4;Sim;TSUB.421.0021;Curso 08421
TIN.0227;Aquicultura(60H);Médio;60;80;4;Sim;TIN.426.0020;-
FIC.0538;A Química no ensino fundamental para formar cidadão;Fundamental;1;2;0;Sim;-;-
TSUB.0858;Aquisição de Sinais Biológicos;Médio;60;80;4;Sim;-;-
FIC.0742;Argamassas;Fundamental;50;50;2;Sim;-;-
TEC.0435;Argamassas e Concretos(60H);Graduação;60;80;4;Sim;TEC.102.0004;Curso 01102
ENG.0169;Armazenagem e Movimentação de Materiais;Graduação;60;80;4;Sim;-;-
TEC.0722;Armazenagem e Movimentação de Materiais;Graduação;60;80;4;Sim;TEC.809.0022;Curso 809
FIC.0253;Armazenamento e conservação;Fundamental;20;20;1;Sim;-;-
FIC.0337;Armazenamento e conservação;Fundamental;15;15;1;Sim;-;-
TEC.0404;Armazenamento e Logística(60H);Graduação;60;80;4;Sim;TEC.048.0014;Curso 03048
ENG.0084;Armazenamento e Transporte de Petróleo e Gás Natural;Graduação;60;80;4;Sim;-;-
TSUB.0010;Arquitetura da Informação;Médio;60;80;4;Sim;TSUB.111.0003;Curso 15000
TCON.0027;Arquitetura da Informação;Médio;60;80;4;Sim;-;Matriz 309
TEC.0878;Arquitetura de Computadores;Graduação;45;60;3;Sim;INF.S009;Curso 404X
TEC.0017;Arquitetura de Computadores (Curso 404);Graduação;60;80;4;Sim;TEC.404.0005;Curso 404
TSUB.0182;Arquitetura de redes de computadores;Médio;60;80;4;Sim;TSUB.411.0013;Curso 10411
TIN.0001;Arquitetura de redes de computadores e Tecnologia de Implementação de redes (Curso 401);Médio;105;140;4;Sim;-;-
TIN.0623;Arquitetura de Sistemas(45H);Médio;45;60;3;Sim;TIN.NA.0064;-
TEC.0713;Arquitetura de Software;Graduação;60;80;4;Sim;TEC.NCT.UT.0080;-
TEC.0879;Arquitetura de Software;Graduação;60;80;4;Sim;INF.S021;Curso 404X
LIC.1026;Arquitetura de Software;Graduação;60;80;4;Sim;-;info
TEC.0025;Arquitetura de Software (Curso 404);Graduação;60;80;4;Sim;TEC.404.0014;Curso 404
FIC.0570;Arquitetura dos computadores;Fundamental;6;8;0;Sim;-;-
LIC.1013;Arquitetura e Organização de Computadores;Graduação;60;80;4;Sim;-;-
TEC.0681;Arquitetura e Org. de Computadores;Graduação;60;80;4;Sim;TEC.806.0006;-
TSUB.0377;Arquitetura TCP/IP;Médio;60;80;4;Sim;TSUB.403.0004;Curso 403
TEC.0257;Arquitetura TCP/IP(60H);Graduação;60;80;4;Sim;INF.S062;405x
TEC.0144;Arquitetura TCP/IP (NCT);Graduação;60;80;4;Sim;TEC.405.0004;-
EJA.0029;Arte;Médio;30;40;2;Sim;TEJA.NE.0006;-
EJA.0297;Arte;Médio;30;40;2;Sim;TEJA.005;Curso 410X
EJA.0245;Arte(60H);Médio;45;60;3;Sim;DATIIZN.075;-
LIC.0660;Arte, Cultura e Diversidade;Graduação;30;40;2;Sim;-;-
LIC.0146;Arte de Resolver Problemas;Graduação;60;80;4;Sim;LIC.430.0030;Curso 01430
LIC.0591;Arte de Resolver Problemas;Graduação;45;60;3;Sim;SUP.124;Curso 01430x
LIC.0331;Arte e Educação;Graduação;45;60;3;Sim;LIC.NDp.0019;-
LIC.0535;Arte e Educação;Graduação;30;40;2;Sim;-;-
LIC.0539;Arte e Educação;Graduação;40;53;2;Sim;FOR.L089;Curso 603X
LIC.0635;Arte e Educação;Graduação;40;53;2;Sim;FOR.L031;Curso 602x
LIC.0826;Arte e Educação;Graduação;60;80;4;Sim;-;Curso 15603
LIC.1077;Arte e Estética para a Educação do Campo;Graduação;30;40;2;Sim;-;-
TIN.1092;Arte I;Médio;30;40;1;Sim;TIN.124;Curso 308X
TIN.0142;Arte I(30H);Médio;30;40;2;Sim;TIN.NE.0008;-
TIN.1033;Arte I(30H);Médio;30;40;1;Sim;FOR.M007;-
EJA.0340;Arte I(30H);Médio;30;40;2;Sim;EJA.EB002;-
TIN.0993;Arte I(40H);Médio;30;40;1;Sim;DATIIZN.005;-
TIN.0379;Arte II;Médio;30;40;2;Sim;-;-
TIN.1104;Arte II;Médio;60;80;2;Sim;TIN.155;Curso 308X
TIN.0159;Arte II(30H);Médio;30;40;2;Sim;TIN.NE.0009;-
EJA.0341;Arte II(30H);Médio;30;40;2;Sim;EJA.EB010;-
TIN.1045;Arte II(60H);Médio;60;80;2;Sim;FOR.M008;-
TIN.1002;Arte II(80H);Médio;60;80;2;Sim;DATIIZN.017;-
TIN.0160;Arte III(30H);Médio;30;40;2;Sim;TIN.NE.0034;-
TIN.0004;Arte III (NE);Médio;30;40;2;Sim;-;-
TIN.0003;Arte II (NE);Médio;30;40;2;Sim;-;-
TIN.0002;Arte I (NE);Médio;30;40;2;Sim;-;-
POS.0453;Arte, Sociedade e Cultura;Pós-graduação;30;40;2;Sim;-;-
POS.0529;As Novas Tecnologias da Comunicação e a Educação a Distância;Pós-graduação;45;45;3;Sim;-;-
POS.0169;As Novas Tecnologias da Comunicação e Educação a Distância;Pós-graduação;40;40;2;Sim;-;-
FIC.0257;Aspectos culturais do mundo hispânico;Fundamental;10;10;1;Sim;-;-
FIC.0288;Aspectos Culturais do Mundo Hispânico ;Fundamental;20;20;1;Sim;-;-
FIC.0843;Aspectos discursivos e dialógicos na comunicação oral;Fundamental;6;8;1;Sim;-;-
FIC.0844;Aspectos fonéticos e fonológicos da Língua Espanhola;Fundamental;6;8;1;Sim;-;-
FIC.0701;Aspectos Socieconômicos do Comércio Local;Fundamental;12;16;1;Sim;-;-
FIC.0172;Aspectos socioculturais relacionados ao uso de álcool e outras drogas licitas e ilícitas;Fundamental;20;20;1;Sim;-;-
TSUB.0625;Associativismo e cooperativismo;Médio;30;40;2;Sim;TSUB.425.0001;Curso 425
EJA.0167;Associativismo e cooperativismo;Médio;30;40;2;Sim;TEJA.418.0012;Curso 428
FIC.0059;Associativismo e Cooperativismo;Fundamental;15;15;1;Sim;-;-
FIC.0083;Associativismo e Cooperativismo;Fundamental;4;4;1;Sim;-;-
